Proposições,Classe,Apreciação,Regime de Tramitação,Natureza,Ementa,Explicação ,Autor,UF,Partido,Apresentação,Ano,,Situação,Link 
PL 3609/1993,Aborto,Plenário,"Ordinária (151, III, RICD)",A favor,DISPÕE SOBRE A OPÇÃO DA INTERRUPÇÃO DA GRAVIDEZ.,FIXANDO EM ATE 90 DIAS O PRAZO PERMITIDO PARA A REALIZAÇÃO DO ABORTO).,JOSE GENOINO,SP,PT,3/22/1993,1993,Apensada,Arquivada,http://www2.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=214314
PL 3673/2008,Aborto,Plenário,"Ordinária (151, III, RICD)",Contra,"Altera o art. 124 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal).",Reduz a pena de detenção para um a dois anos no caso de crime de aborto.,Pompeo de Mattos,RS,PDT,7/3/2008,2008,,Arquivada,http://www2.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=403331
PL 3748/2008,Aborto,Plenário,"Ordinária (151, III, RICD)",A favor,Autoriza o Poder Executivo a conceder pensão à mãe que mantenha a criança nascida de gravidez decorrente de estupro.,,Sueli Vidigal ,ES,PDT,7/16/2008,2008,Apensado,Pronta para Pauta na Comissão de Constituição e Justiça e de Cidadania (CCJC); Aguardando Parecer do Relator na Comissão de Defesa dos Direitos da Mulher (CMULHER),http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=405056
PL 3783/2008,Aborto,Plenário,"Ordinária (151, III, RICD)",A favor,"Acrescenta parágrafo ao Art. 391 da Consolidação das Leis do Trabalho - CLT, aprovada pelo Decreto-lei nº 5.452, de 1º de maio de 1943, para assegurar à mulher sob estabilidade provisória a continuidade do benefício em caso de falecimento do filho.",,Carlos Bezerra,MT,PMDB,8/5/2008,2008,,Tramitando em Conjunto,http://www2.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=405768
PL 3872/1989,Aborto,Plenário,"Ordinária (151, III, RICD)",Contra,"DA NOVA REDAÇÃO AOS ARTIGOS 124, 125 E 127 DO CODIGO PENAL, REFERENTES AO CRIME DE ABORTO.",AUMENTANDO A PENA PARA A PRATICA DO CRIME DE ABORTO).,MATHEUS IENSEN,PR,PMDB,10/18/1989,1989,Raiz,Arquivada,http://www2.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=216710
PL 3983/2015,Aborto,Plenário,"Ordinária (151, III, RICD)",Contra,Altera o artigo 128 do Decreto Lei 2.848 de 7 de dezembro de 1940 (Código Penal).,,Givaldo Carimbão ;Gorete Pereira ;Flavinho ;Diego Garcia ;Joaquim Passarinho ;Carlos Gomes ;Valtenir Pereira ;Sóstenes Cavalcante ;Jefferson Campos ;Izalci ;Roney Nemer ;Eros Biondini ;Professor Victório Galli,AL;CE;SP;PR;PA;RS;MT;RJ;SP;DF;DF;MG;MT,PROS ;PR ;PSB ;PHS ;PSD ;PRB ;PMB ;PSD ;PSD ;PSDB ;PMDB ;PTB ;PSC,12/15/2015,2015,Apensado,Tramitando em Conjunto,http://www2.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2074902
PL 4396/2016,Aborto,Plenário,"Ordinária (151, III, RICD)",Contra,"Altera dispositivo do Código Penal (Decreto-Lei nº 2.848, de 7 de dezembro de 1940) para prever aumento de pena no caso de aborto cometido em razão da microcefalia ou anomalia do feto.",,Anderson Ferreira,PE,PR,2/16/2016,2016,Apensada,Pronta para Pauta na Comissão de Seguridade Social e Família (CSSF),http://www2.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2077282
PL 4403/2004,Aborto,Plenário,"Ordinária (151, III, RICD)",A favor,"Acrescenta inciso ao art. 128 do Decreto-Lei nº 2.848, de 07 de dezembro de 1940 - Código Penal.","Isenta de pena a prática de ""aborto terapêutico"" em caso de anomalia do feto, incluindo o feto anencéfalo, que implique em impossibilidade de vida extra uterina.",Jandira Feghali ;Alice Portugal ;Iara Bernardi ;Professora Raquel Teixeira ;Maria do Rosário ;Vanessa Grazziotin ;Luiza Erundina ;Perpétua Almeida ;Juíza Denise Frossard,RJ;BA;SP;GO;RS;AM;SP;AC;RJ,PCdoB ;PCdoB ;PT ;PSDB ;PT ;PCdoB ;PSB ;PCdoB ;S.PART.,11/10/2004,2004,Raiz,Aguardando Designação de Relator na Comissão de Constituição e Justiça e de Cidadania (CCJC),http://www2.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=269436
PL 4474/1977,Aborto,Plenário,"Ordinária (151, III, RICD)",Contra,"ALTERA A REDAÇÃO DO ARTIGO 20, DO DECRETO-LEI Nº 3.688, DE 03 DE OUTUBRO DE 1941 (LEI DAS CONTRAVENÇÕES PENAIS).",PARA SUPRIMIR A EXPRESSÃO 'OU EVITAR A GRAVIDEZ'.,ERASMO MARTINS PEDRO,NI,NI,11/10/1977,1977,Raiz,Arquivada,http://www2.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=221825
PL 4641/2016,Aborto,"Conclusiva (24, II, RICD)","Ordinária (151, III, RICD)",Dúvida,"Altera a Lei Nº 8.742, de 7 de dezembro de 1993 e dá outras providências.",Trata de medidas de proteção e amparo às gestantes em situação de vulnerabilidade socioeconômica.,Flavinho,SP,PSB,3/8/2016,2016,Raiz,Aguardando Parecer do Relator na Comissão de Defesa dos Direitos da Mulher (CMULHER),http://www2.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2078897
