,id,capnum,datacaptura,idecadastro,numlegislatura,nomeparlamentar,sexo,profissao,legendapartidoeleito,ufeleito,condicao,situacaomandato,matricula,gabinete,anexo,fone
82,1605,2,2015-11-02 13:14:39,74158,53,MÁRIO HERINGER,M,MEDICO,PDT,MG,Titular,Em Exercício,267,0,0,
83,173,2,2015-11-02 13:14:39,141383,54,ANTONIO BULHÕES,M,"Apresentador de Televisão, Administrador, Teólogo e Bispo Evangélico",PRB,SP,Titular,Em Exercício,333,0,0,
84,739,2,2015-11-02 13:14:39,171621,54,EURICO JÚNIOR,M,,PV,RJ,Efetivado,Em Exercício,613,0,0,
85,1986,2,2015-11-02 13:14:39,74048,52,RAUL JUNGMANN,M,OUTROS,PMDB,PE,Titular,Em Exercício,155,0,0,
86,111,2,2015-11-02 13:14:39,129617,52,AMADOR TUT,M,Agropecuarista e Empresário,PL,MT,Suplente,Suplência,566,0,0,
87,1044,2,2015-11-02 13:14:39,133376,52,JAIR DE OLIVEIRA,M,Pastor Evangélico,PDT,ES,Efetivado,Em Exercício,580,0,0,
88,714,2,2015-11-02 13:14:39,154997,54,EMILIANO JOSÉ,M,,PT,BA,Efetivado,Em Exercício,523,0,0,
89,2347,2,2015-11-02 13:14:39,137759,52,VICENTE CHELOTTI,M,,PMDB,DF,Suplente,Suplência,613,0,0,
90,1665,2,2015-11-02 13:14:39,178985,55,MIGUEL LOMBARDI,M,Corretor de Imóveis,PR,SP,Titular,Em Exercício,378,835,4,3215-5835
91,975,2,2015-11-02 13:14:39,73946,52,HOMERO BARRETO,M,Pecuarista,DEM,TO,Titular,Em Exercício,62,0,0,
92,2249,2,2015-11-02 13:14:39,168175,54,SIMPLÍCIO ARAÚJO,M,,PPS,MA,Efetivado,Licenciado,585,0,0,
93,546,2,2015-11-02 13:14:39,160606,54,DELEGADO PROTÓGENES,M,Delegado de Polícia Federal,PCdoB,SP,Titular,Em Exercício,343,0,0,
94,1473,2,2015-11-02 13:14:39,166402,54,MAGDA MOFATTO,F,,PTB,GO,Suplente,Em Exercício,575,0,0,
95,985,2,2015-11-02 13:14:39,73935,54,HUMBERTO MICHILES,M,SECURITARIO,PR,AM,Efetivado,Licenciado,663,0,0,
96,1802,2,2015-11-02 13:14:39,73463,55,OSMAR SERRAGLIO,M,Advogado,PMDB,PR,Titular,Em Exercício,463,845,4,3215-5845
97,434,2,2015-11-02 13:14:39,73720,55,CESAR SOUZA,M,"Apresentador de Televisão,Comunicador de Rádio,Empresário",PSD,SC,Titular,Em Exercício,479,609,4,3215-5609
98,457,2,2015-11-02 13:14:39,141440,54,CHICO LOPES,M,Professor e Auditor-Fiscal,PCdoB,CE,Titular,Em Exercício,88,0,0,
99,197,2,2015-11-02 13:14:39,74194,52,ANTONIO JOAQUIM,M,Médico e Assistente social,PPB,MA,Titular,Em Exercício,68,0,0,
100,1499,2,2015-11-02 13:14:39,178821,54,MARCELINHO CARIOCA,M,,PSB,SP,Efetivado,Em Exercício,666,0,0,
